ColNum,Name
7,AirlineID
11,OriginAirportID
12,OriginAirportSeqID
13,OriginCityMarketID
17,OriginStateFips
20,DestAirportID
21,DestAirportSeqID
22,DestCityMarketID
26,DestStateFips
47,Cancelled
48,CancellationCode
49,Diverted
61,FirstDepTime
62,TotalAddGTime
63,LongestAddGTime
64,DivAirportLandings
65,DivReachedDest
66,DivActualElapsedTime
67,DivArrDelay
68,DivDistance
69,Div1Airport
70,Div1AirportID
71,Div1AirportSeqID
72,Div1WheelsOn
73,Div1TotalGTime
74,Div1LongestGTime
75,Div1WheelsOff
76,Div1TailNum
77,Div2Airport
78,Div2AirportID
79,Div2AirportSeqID
80,Div2WheelsOn
81,Div2TotalGTime
82,Div2LongestGTime
83,Div2WheelsOff
84,Div2TailNum
85,Div3Airport
86,Div3AirportID
87,Div3AirportSeqID
88,Div3WheelsOn
89,Div3TotalGTime
90,Div3LongestGTime
91,Div3WheelsOff
92,Div3TailNum
93,Div4Airport
94,Div4AirportID
95,Div4AirportSeqID
96,Div4WheelsOn
97,Div4TotalGTime
98,Div4LongestGTime
99,Div4WheelsOff
100,Div4TailNum
101,Div5Airport
102,Div5AirportID
103,Div5AirportSeqID
104,Div5WheelsOn
105,Div5TotalGTime
106,Div5LongestGTime
107,Div5WheelsOff
108,Div5TailNum
109,Unnamed: 109
